,final_price
13990806,10000.0
13990807,10000.0
13990808,10000.0
13990809,10000.0
13990810,10000.0
13990811,10000.0
13990812,10000.0
13990813,10000.0
13990814,10000.0
13990815,10000.0
13990816,10000.0
13990817,10000.0
13990818,10000.0
13990819,10000.0
13990820,10000.0
13990821,10000.0
13990822,10000.0
13990823,10000.0
13990824,10000.0
13990825,10000.0
13990826,10000.0
13990827,10000.0
13990828,10000.0
13990829,10000.0
13990830,10000.0
13990901,10000.0
13990902,10000.0
13990903,10000.0
13990904,10000.0
13990905,10000.0
13990906,10000.0
13990907,10000.0
13990908,10000.0
13990909,10000.0
13990910,10000.0
13990911,10000.0
13990912,10000.0
13990913,10000.0
13990914,10000.0
13990915,10000.0
13990916,10000.0
13990917,10000.0
13990918,10000.0
13990919,10000.0
13990920,10000.0
13990921,10000.0
13990922,10000.0
13990923,10000.0
13990924,10000.0
13990925,10000.0
13990926,10000.0
13990927,10000.0
13990928,10000.0
13990929,10000.0
13990930,10000.0
13991001,10000.0
13991002,10000.0
13991003,10000.0
13991004,10000.0
13991005,10000.0
13991006,10000.0
13991007,10000.0
13991008,10000.0
13991009,10000.0
13991010,10000.0
13991011,10000.0
13991012,10000.0
13991013,10000.0
13991014,10000.0
13991015,10000.0
13991016,10000.0
13991017,10000.0
13991018,10000.0
13991019,10000.0
13991020,10000.0
13991021,10367.0
13991022,10379.0
13991023,10381.0
13991024,10386.0
13991025,10386.0
13991026,10386.0
13991027,10397.0
13991028,10397.0
13991029,10410.0
13991030,10411.0
13991101,10417.0
13991102,10417.0
13991103,10417.0
13991104,10430.0
13991105,10438.0
13991106,10441.0
13991107,10446.0
13991108,10460.0
13991109,10460.0
13991110,10460.0
13991111,10471.0
13991112,10475.0
13991113,10480.0
13991114,10486.0
13991115,10490.0
13991116,10490.0
13991117,10490.0
13991118,10502.0
13991119,10508.0
13991120,10513.0
13991121,10521.0
13991122,10521.0
13991123,10521.0
13991124,10521.0
13991125,10535.0
13991126,10540.0
13991127,10541.0
13991128,10544.0
13991129,10548.0
13991130,10548.0
13991201,10548.0
13991202,10566.0
13991203,10579.0
13991204,10581.0
13991205,10590.0
13991206,10595.0
13991207,10595.0
13991208,10595.0
13991209,10608.0
13991210,10613.0
13991211,10619.0
13991212,10622.0
13991213,10636.0
13991214,10636.0
13991215,10636.0
13991216,10649.0
13991217,10656.0
13991218,10658.0
13991219,10663.0
13991220,10670.0
13991221,10670.0
13991222,10670.0
13991223,10687.0
13991224,10691.0
13991225,10696.0
13991226,10700.0
13991227,10716.0
13991228,10716.0
13991229,10716.0
13991230,10716.0
14000101,10716.0
14000102,10716.0
14000103,10716.0
14000104,10716.0
14000105,10716.0
14000106,10716.0
14000107,10761.0
14000108,10770.0
14000109,10770.0
14000110,10789.0
14000111,10802.0
14000112,10802.0
14000113,10802.0
14000114,10810.0
14000115,10815.0
14000116,10820.0
14000117,10830.0
14000118,10873.0
14000119,10873.0
14000120,10873.0
14000121,10902.0
14000122,10938.0
14000123,10939.0
14000124,10943.0
14000125,10948.0
14000126,10948.0
14000127,10948.0
14000128,10981.0
14000129,10986.0
14000130,10990.0
14000131,10993.0
14000201,11001.0
14000202,11001.0
14000203,11001.0
14000204,11004.0
14000205,11008.0
14000206,11013.0
14000207,11015.0
14000208,11020.0
14000209,11020.0
14000210,11020.0
14000211,11034.0
14000212,11041.0
14000213,11050.0
14000214,11050.0
14000215,11061.0
14000216,11061.0
14000217,11061.0
14000218,11068.0
14000219,11075.0
14000220,11084.0
14000221,11089.0
14000222,11094.0
14000223,11094.0
14000224,11094.0
14000225,11102.0
14000226,11111.0
14000227,11116.0
14000228,11116.0
14000229,11125.0
14000230,11125.0
14000231,11125.0
14000301,11135.0
14000302,11147.0
14000303,11155.0
14000304,11156.0
14000305,11159.0
14000306,11159.0
14000307,11159.0
14000308,11162.0
14000309,11166.0
14000310,11171.0
14000311,11179.0
14000312,11196.0
14000313,11196.0
14000314,11196.0
14000315,11196.0
14000316,11196.0
14000317,11206.0
14000318,11212.0
14000319,11218.0
14000320,11218.0
14000321,11218.0
14000322,11225.0
14000323,11233.0
14000324,11239.0
14000325,11244.0
14000326,11250.0
14000327,11250.0
14000328,11250.0
